scenario_id,plan_id,rule_id,severity,message,year,month,source_id,actual,limit,excess
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,hard,"пик запаса внутри месяца 120.252 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2038-09 (поставка одной партией в начале месяца; запас на начало 90.115 т, нетто-поступление 30.137 т, выдача 20.833 т)",2038,9,,120.252414,120.000000,0.252414
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,hard,"пик запаса внутри месяца 129.556 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2038-10 (поставка одной партией в начале месяца; запас на начало 99.419 т, нетто-поступление 30.137 т, выдача 20.833 т)",2038,10,,129.556144,120.000000,9.556144
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,hard,"пик запаса внутри месяца 138.860 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2038-11 (поставка одной партией в начале месяца; запас на начало 108.723 т, нетто-поступление 30.137 т, выдача 20.833 т)",2038,11,,138.859873,120.000000,18.859873
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 127.330 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2038-12,2038,12,,127.330269,120.000000,7.330269
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,hard,"пик запаса внутри месяца 148.164 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2038-12 (поставка одной партией в начале месяца; запас на начало 118.027 т, нетто-поступление 30.137 т, выдача 20.833 т)",2038,12,,148.163603,120.000000,28.163603
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 134.627 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-01,2039,1,,134.627329,120.000000,14.627329
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,hard,"пик запаса внутри месяца 161.294 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-01 (поставка одной партией в начале месяца; запас на начало 127.330 т, нетто-поступление 33.964 т, выдача 26.667 т)",2039,1,,161.293996,120.000000,41.293996
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 141.924 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-02,2039,2,,141.924389,120.000000,21.924389
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,hard,"пик запаса внутри месяца 168.591 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-02 (поставка одной партией в начале месяца; запас на начало 134.627 т, нетто-поступление 33.964 т, выдача 26.667 т)",2039,2,,168.591056,120.000000,48.591056
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 149.221 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-03,2039,3,,149.221450,120.000000,29.221450
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,hard,"пик запаса внутри месяца 175.888 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-03 (поставка одной партией в начале месяца; запас на начало 141.924 т, нетто-поступление 33.964 т, выдача 26.667 т)",2039,3,,175.888116,120.000000,55.888116
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 156.519 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-04,2039,4,,156.518510,120.000000,36.518510
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,hard,"пик запаса внутри месяца 183.185 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-04 (поставка одной партией в начале месяца; запас на начало 149.221 т, нетто-поступление 33.964 т, выдача 26.667 т)",2039,4,,183.185176,120.000000,63.185176
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 163.816 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-05,2039,5,,163.815570,120.000000,43.815570
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,hard,"пик запаса внутри месяца 190.482 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-05 (поставка одной партией в начале месяца; запас на начало 156.519 т, нетто-поступление 33.964 т, выдача 26.667 т)",2039,5,,190.482236,120.000000,70.482236
BASE,P3_isru_zbo_adapted,STORAGE_OVERFLOW,hard,запас на конец месяца 171.113 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-06,2039,6,,171.112630,120.000000,51.112630
BASE,P3_isru_zbo_adapted,INTRA_MONTH_PEAK,hard,"пик запаса внутри месяца 197.779 т превышает ёмкость хранилища ZBO modernization 120.0 т в 2039-06 (поставка одной партией в начале месяца; запас на начало 163.816 т, нетто-поступление 33.964 т, выдача 26.667 т)",2039,6,,197.779297,120.000000,77.779297
