scenario_id,plan_id,rule_id,severity,message,year,month,source_id,actual,limit,excess
TEAM_EARTH_NEW_DELAY_06M,P2z_earth_new_zbo_fixed_calendar,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-01, раньше первой возможной поставки 2037-07",2037,1,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_earth_new_zbo_fixed_calendar,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-02, раньше первой возможной поставки 2037-07",2037,2,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_earth_new_zbo_fixed_calendar,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-03, раньше первой возможной поставки 2037-07",2037,3,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_earth_new_zbo_fixed_calendar,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-04, раньше первой возможной поставки 2037-07",2037,4,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_earth_new_zbo_fixed_calendar,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-05, раньше первой возможной поставки 2037-07",2037,5,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_earth_new_zbo_fixed_calendar,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-06, раньше первой возможной поставки 2037-07",2037,6,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_earth_new_zbo_fixed_calendar,ORDER_EXCEEDS_RESERVATION,hard,"Earth-New 2037: заказано 13.188 т, что превышает контрактно доступный объём 6.595 т (резерв 13.2 т/год × 0.500 года)",2037,,C,13.188200,6.594500,6.593700
TEAM_EARTH_NEW_DELAY_06M,P2z_earth_new_zbo_fixed_calendar,RESERVE_45D,hard,2038-01: физический запас 24.525 т < 45-дневного резерва 30.822 т,2038,1,,24.524879,30.821918,6.297039
TEAM_EARTH_NEW_DELAY_06M,P2z_earth_new_zbo_fixed_calendar,RESERVE_45D,hard,2039-01: физический запас 33.155 т < 45-дневного резерва 39.452 т,2039,1,,33.155022,39.452055,6.297033
TEAM_EARTH_NEW_DELAY_06M,P2z_earth_new_zbo_fixed_calendar,RESERVE_45D,hard,2040-01: физический запас 41.785 т < 45-дневного резерва 48.082 т,2040,1,,41.785163,48.082192,6.297029
